voltage,current,temperature,time,battery_type,power,voltage_drop_rate,temp_change_rate,current_spike,soc,soh,risk
13.8811,5.4180,42.0020,332.2616,Li-ion,75.2072,0.01978,0.08085,0.8586,66.5166,68.2730,Medium
11.4928,7.4631,30.2887,18.5971,NiMH,85.7719,0.01464,0.13717,1.2274,72.4540,86.1639,Low
10.0829,9.7971,21.6801,429.5701,NiMH,98.7828,0.02518,0.33309,2.1482,51.8400,69.5512,Medium
13.9998,7.1760,21.4088,156.1980,NiMH,100.4627,0.00924,0.07137,2.0783,80.7208,84.8237,Medium
10.6112,2.5326,21.2087,213.2853,NiMH,26.8735,0.00311,0.17213,0.5746,93.5609,79.6406,Low
10.4937,5.1395,41.7717,12.4942,Lead-acid,53.9324,0.01032,0.18261,2.4351,77.3411,80.5496,Medium
12.4928,4.6203,22.5533,358.3616,Lead-acid,57.7208,0.00832,0.06806,2.6926,81.9937,71.3118,Medium
13.7960,8.3298,20.9083,54.9200,Lead-acid,114.9185,0.00486,0.11393,1.4523,86.8936,89.9435,Low
10.7995,4.5248,50.6399,227.8995,Li-ion,48.8654,0.03719,0.21855,3.9529,39.8824,65.2898,High
11.4108,3.0399,23.1469,343.3111,NiMH,34.6878,0.01143,0.14580,0.3382,77.6061,74.4526,Low
12.2811,9.9756,55.2593,91.0988,Li-ion,122.5114,0.03839,0.43833,3.5483,38.3705,68.8865,High
10.8748,5.4504,30.5955,21.8285,Li-ion,59.2715,0.00475,0.20767,1.5465,91.7501,89.1228,Medium
12.1224,2.3421,31.6868,390.3518,Lead-acid,28.3917,0.00207,0.18204,0.9498,96.4988,69.7322,Low
12.1377,3.8405,24.0719,80.4216,Lead-acid,46.6145,0.01077,0.07711,0.5438,74.6999,88.6049,Low
12.3139,2.6617,23.9830,35.1640,Lead-acid,32.7754,0.01018,0.24542,1.4581,77.4034,90.8154,Low
11.4694,8.0743,25.0855,140.6931,Lead-acid,92.6069,0.00362,0.05048,1.0381,88.7855,82.9650,Low
10.8010,7.0083,55.8272,49.0417,Lead-acid,75.6968,0.03724,0.32695,4.1129,19.8413,71.8775,High
10.5257,9.5979,30.8173,398.4293,Lead-acid,101.0248,0.01131,0.07180,2.7319,71.4986,65.1094,Medium
10.5005,2.5127,34.4995,313.3314,Li-ion,26.3848,0.02277,0.11726,2.8849,62.8976,74.1237,Medium
10.2254,7.5397,52.0791,203.2494,Li-ion,77.0968,0.04675,0.33262,4.8040,27.2440,68.5577,High
12.3310,0.5679,35.6899,353.8939,NiMH,7.0033,0.01945,0.29498,0.6161,66.1856,71.8397,Medium
10.9238,3.4942,59.3260,299.5379,Lead-acid,38.1699,0.04837,0.23014,4.2371,0.0000,61.6379,High
11.0491,8.3949,54.7121,177.9187,NiMH,92.7563,0.03355,0.42118,3.8271,41.4531,66.8755,High
13.2243,6.9392,39.7745,396.4862,Li-ion,91.7665,0.02342,0.28032,0.5330,62.9184,64.0670,Medium
11.1211,2.6099,27.3621,292.5659,Lead-acid,29.0247,0.01478,0.03653,1.3740,68.7424,75.6784,Low
12.4259,7.0458,44.5589,25.6965,Lead-acid,87.5507,0.02215,0.42756,0.2836,50.7759,81.4790,Medium
13.0261,4.3692,55.0348,93.5943,NiMH,56.9129,0.04692,0.36425,4.1938,20.2492,72.9619,High
11.0907,4.4854,33.1748,456.9313,Lead-acid,49.7460,0.00290,0.18443,0.2450,91.2092,64.7258,Low
12.4077,8.5246,38.1303,391.9370,Li-ion,105.7710,0.00945,0.27464,0.0774,83.9520,64.6291,Medium
12.2505,5.4372,34.9254,319.6102,NiMH,66.6087,0.00595,0.25133,0.1946,86.4230,71.5164,Low
10.1847,9.4850,34.5588,453.2636,Li-ion,96.6020,0.02477,0.15376,0.7326,58.4367,62.6648,Medium
11.1160,3.3357,23.9654,471.3279,NiMH,37.0802,0.00778,0.49131,1.4360,86.5269,69.7910,Low
13.1898,5.4581,57.1417,212.4701,Lead-acid,71.9909,0.03531,0.28211,4.3094,21.6299,67.6084,High
11.7534,5.5248,56.5670,374.2415,Lead-acid,64.9352,0.03778,0.36880,3.3252,15.9650,59.4252,High
10.2350,8.8138,41.8809,82.3632,Li-ion,90.2096,0.02223,0.49913,0.1086,60.9682,79.6823,Medium
13.7151,3.4876,33.4897,481.1199,Lead-acid,47.8327,0.00889,0.29765,0.0494,80.7246,64.4897,Low
10.7011,5.1965,34.4529,15.2481,NiMH,55.6082,0.00180,0.42678,1.1604,96.5768,86.5626,Low
13.1295,9.2409,20.9937,110.6466,Li-ion,121.3287,0.01035,0.45158,1.1318,79.2131,86.8772,Low
10.5296,0.9951,57.3181,192.9169,Lead-acid,10.4784,0.04919,0.22528,4.3407,0.0000,67.1799,High
12.6956,4.8085,37.3382,167.0141,NiMH,61.0470,0.00519,0.09659,1.7495,90.1425,76.4150,Medium
11.3628,6.9824,31.5383,479.2944,Li-ion,79.3403,0.02345,0.36686,2.5502,61.4351,64.0030,Medium
11.7413,1.6649,30.2471,325.7124,Lead-acid,19.5479,0.02362,0.47186,2.1200,49.3601,73.4586,Medium
10.3002,6.1983,38.6477,214.4851,NiMH,63.8439,0.01777,0.28523,1.4665,68.1282,75.5975,Medium
10.4826,2.3296,30.5428,68.5818,Lead-acid,24.4198,0.00479,0.27257,0.3771,89.9322,84.0365,Low
13.5663,7.7139,36.9791,424.5831,Li-ion,104.6491,0.01525,0.28457,2.0992,72.9771,64.0712,Medium
11.5119,9.2978,43.7309,327.7045,NiMH,107.0353,0.01728,0.43668,1.5438,66.8385,65.3098,Medium
10.3338,7.0702,48.3090,72.0243,Lead-acid,73.0620,0.00572,0.14410,0.4088,83.8081,74.4555,Medium
11.2766,4.6906,24.8132,67.6489,Li-ion,52.8940,0.00370,0.08317,0.4150,91.5640,88.2557,Low
12.2735,9.5060,27.8961,367.3603,Li-ion,116.6729,0.00442,0.39422,2.5646,88.8894,72.7376,Medium
11.4079,0.7234,51.8750,181.0617,Li-ion,8.2528,0.03401,0.40570,4.1929,46.7610,67.9193,High
13.4184,5.7816,32.3013,279.5592,Lead-acid,77.5793,0.00343,0.05642,1.4281,88.7974,75.0492,Low
12.5659,7.6541,51.1262,38.9109,Lead-acid,96.1802,0.04594,0.06692,4.8888,0.0000,74.2720,High
13.7586,9.0027,54.3569,131.3121,Lead-acid,123.8653,0.03303,0.17369,3.3597,24.9487,72.5141,High
13.3966,7.4454,57.3105,119.6648,Li-ion,99.7424,0.03389,0.44988,4.3624,45.0073,67.8341,High
10.0023,1.1292,28.1511,430.8319,Li-ion,11.2942,0.01885,0.14010,2.7024,70.6375,69.0936,Medium
12.9623,9.4035,21.7238,374.8627,Li-ion,121.8912,0.01639,0.06689,0.2630,70.6345,76.1428,Medium
12.3967,4.2827,25.3980,47.8621,Li-ion,53.0915,0.02247,0.12274,0.0047,63.9055,89.2229,Medium
11.5551,8.0310,20.3805,325.2697,Li-ion,92.7990,0.01495,0.25485,0.3577,75.7749,78.6892,Low
10.9503,7.5846,20.5817,461.2091,Lead-acid,83.0540,0.01345,0.44955,0.4972,66.4572,69.0095,Low
12.4783,7.7589,31.8323,316.4209,Lead-acid,96.8181,0.01412,0.29368,2.6581,65.2435,69.3561,Medium
13.4632,3.6533,22.8666,70.9928,NiMH,49.1849,0.00600,0.19033,1.1713,89.9006,89.9362,Low
13.2973,5.2602,54.0437,113.4203,NiMH,69.9468,0.03105,0.17293,3.9915,45.7422,72.9378,High
10.3720,6.9001,20.1458,412.3266,NiMH,71.5684,0.01265,0.04725,0.3724,77.4597,70.8864,Low
10.7199,1.7866,34.7921,324.3473,Li-ion,19.1519,0.00761,0.36735,0.4306,89.4987,71.6776,Low
11.1538,0.7251,42.7568,424.9981,NiMH,8.0875,0.02895,0.17232,1.9117,49.4633,62.9232,Medium
12.0794,6.8034,30.5438,167.0710,Lead-acid,82.1805,0.01266,0.26840,1.6562,70.6702,79.9507,Medium
13.4195,6.4746,30.8838,82.8758,Li-ion,86.8862,0.00949,0.06903,1.7892,82.4890,84.7532,Medium
11.2839,6.9135,55.6830,281.5305,NiMH,78.0117,0.03568,0.09377,3.7257,36.9143,61.2256,High
10.5581,8.2545,32.3970,110.8483,NiMH,87.1512,0.00322,0.34968,2.6921,89.5579,81.7031,Medium
12.8544,8.1377,26.0208,264.4730,NiMH,104.6047,0.00156,0.08298,0.0584,95.6594,75.8373,Low
11.9604,7.9952,30.5991,345.8301,NiMH,95.6252,0.02745,0.28337,1.6534,49.8851,70.5508,Medium
11.8253,1.4168,25.0806,429.5450,Li-ion,16.7538,0.02792,0.38400,2.2774,55.7702,74.5988,Medium
11.1707,6.7096,30.6257,268.1537,Li-ion,74.9513,0.02894,0.14109,2.3016,53.8306,76.7516,Medium
13.3393,7.6837,25.8959,489.4604,NiMH,102.4951,0.00278,0.23687,1.4681,93.0720,66.1629,Low
11.9098,2.3948,26.1036,482.3179,Li-ion,28.5220,0.01409,0.16737,1.3176,78.0673,71.7551,Low
12.2663,0.5936,30.2322,175.4269,Li-ion,7.2817,0.00385,0.31594,2.8291,92.9838,82.4888,Medium
10.8959,9.5797,27.8723,437.8403,NiMH,104.3802,0.01141,0.26436,1.0857,77.5228,68.3471,Low
12.7370,8.1525,23.6427,400.1513,NiMH,103.8389,0.01076,0.28731,0.4524,76.6101,71.5257,Low
12.3215,8.1482,25.8672,426.4068,NiMH,100.3981,0.00282,0.35770,2.6234,91.7777,67.9349,Medium
13.6419,9.6925,52.1889,408.0848,Lead-acid,132.2249,0.03345,0.21977,4.9181,24.3730,55.6029,High
10.9259,7.2161,26.7576,354.4639,Lead-acid,78.8422,0.00931,0.23248,0.4369,78.0722,74.1622,Low
13.4442,6.2975,23.1482,219.8019,Li-ion,84.6646,0.01133,0.31191,1.0337,81.2907,84.3181,Low
13.1312,7.0905,57.9703,412.7928,NiMH,93.1072,0.04642,0.04692,4.4099,19.1439,52.5153,High
13.6363,3.7220,25.1233,305.0291,Li-ion,50.7536,0.01851,0.42281,0.6481,70.8158,77.0829,Medium
11.8005,8.6023,34.8607,226.8525,Li-ion,101.5112,0.01332,0.02763,0.1787,74.8843,76.5710,Low
11.4193,2.9543,27.4146,147.0327,Li-ion,33.7366,0.00555,0.30212,0.7313,91.8469,85.8273,Low
10.8036,6.4296,30.6781,152.3840,Lead-acid,69.4625,0.01410,0.17919,0.9489,68.1612,82.9464,Low
13.4099,3.3155,27.5069,141.5722,NiMH,44.4599,0.02569,0.06836,0.7636,53.8923,84.1727,Medium
13.8725,1.2104,30.4788,291.9244,Lead-acid,16.7910,0.01610,0.42807,2.5708,67.0329,74.6965,Medium
11.9238,1.4171,31.8715,65.0600,Lead-acid,16.8969,0.02087,0.44164,1.0535,56.1139,84.3078,Medium
13.7318,4.0903,28.4386,333.7020,NiMH,56.1670,0.00194,0.22553,2.9428,95.9640,72.6131,Medium
12.3659,6.3580,21.7735,497.1257,NiMH,78.6222,0.02829,0.03217,2.6501,50.3151,66.1469,Medium
10.0452,2.4113,25.0069,147.9971,Li-ion,24.2217,0.00885,0.39720,0.9563,84.7325,87.1470,Low
