voltage,current,temperature,time,battery_type,power,voltage_drop_rate,temp_change_rate,current_spike,soc,soh,risk
10.1177,7.554,46.1275,328.58,Li-ion,76.4291,0.045606,0.0693,4.2277,15.1915,43.2883,High
11.5749,8.9686,53.5733,470.03,Lead-acid,103.8102,0.039566,0.14248,3.0966,15.6183,25.8447,Medium
13.3385,1.4372,37.6132,10.55,Lead-acid,19.1697,0.003947,0.18814,0.5892,87.0805,85.6409,Low
12.0282,3.8142,39.6836,257.47,Li-ion,45.8784,0.018633,0.09295,1.9541,72.1147,58.8026,Medium
13.1607,1.3491,28.0045,105.26,NiMH,17.7557,0.001,0.21644,0.1065,87.2186,78.6087,Low
13.6152,2.3702,20,73.31,Lead-acid,32.2705,0.012251,0.0687,0.8433,64.282,89.389,Low
11.1815,5.9654,39.2445,203.29,Li-ion,66.7017,0.012009,0.27515,2.3348,75.7943,59.3153,Medium
10.0195,6.6904,51.1238,470.5,Lead-acid,67.0341,0.032831,0.37941,2.9008,32.5182,45.2799,High
12.5026,5.7591,45.6595,225.82,Li-ion,72.0034,0.014335,0.14292,1.4774,70.8409,48.2726,Medium
12.4825,2.7709,33.349,162.08,Lead-acid,34.5882,0.009595,0.25194,0.7148,78.1485,70.6458,Low
10,7.0778,53.9728,412.75,NiMH,70.778,0.032898,0.01,2.3511,42.9082,35.0979,High
10.6154,9.0343,54.9064,439.64,Li-ion,95.9024,0.042667,0.25222,3.6567,22.3204,23.399,High
12.0754,7.4471,47.4144,410.6,Lead-acid,89.9269,0.033988,0.23031,2.5345,25.6695,51.0124,Medium
12.3704,4.0519,36.0573,209.42,NiMH,50.1235,0.030192,0.05513,1.9051,43.8792,60.2384,Medium
11.8596,10,54.9781,341.76,Li-ion,118.5962,0.028979,0.06235,2.2503,36.4757,36.2052,High
13.854,0.9565,20.2829,166.15,Lead-acid,13.251,0.012688,0.04835,1.1425,67.7661,83.9167,Low
11.5309,6.2287,47.8198,331.14,Lead-acid,71.8229,0.023929,0.12657,2.0887,50.6104,46.2485,Medium
11.0627,7.8747,49.5363,378.62,Li-ion,87.1148,0.04825,0.15183,3.582,8.4614,34.6321,High
12.5377,0.8002,28.8267,125.79,Li-ion,10.0332,0.012814,0.1026,0.6791,74.7176,75.3635,Low
10.0089,6.4267,52.9768,320.62,NiMH,64.3239,0.047703,0.18002,4.1261,9.5483,36.9795,High
12.8481,0.837,24.2733,61.95,Lead-acid,10.7537,0.005322,0.12282,0.7352,84.2115,92.7554,Low
11.6904,3.0421,38.4189,265.67,Lead-acid,35.5632,0.029102,0.05307,1.7702,45.2822,61.2305,Medium
12.4939,3.1979,26.6813,162.83,Lead-acid,39.9542,0.001,0.11861,0.905,80.1949,79.3938,Medium
11.5546,8.1357,56.555,484.02,NiMH,94.0049,0.044448,0.09234,4.0943,24.3351,24.6667,High
11.4204,6.4993,42.586,311.64,Lead-acid,74.2249,0.01545,0.22466,2.7317,75.15,48.36,Medium
11.3941,7.7577,58.8071,373.29,NiMH,88.3914,0.028202,0.30067,2.2613,41.8224,25.0739,Medium
11.6123,5.6687,49.128,413.19,Li-ion,65.8272,0.039968,0.17816,3.5909,16.4472,27.973,High
11.2379,8.9999,52.006,343.37,NiMH,101.1396,0.026881,0.10362,4.6858,41.1428,34.478,High
12.553,0.8047,29.0003,102.48,Li-ion,10.1018,0.01085,0.09832,0.5093,73.0797,79.5133,Low
13.837,2.955,24.4397,26.08,NiMH,40.8888,0.012939,0.04441,0.2584,80.9752,87.9365,Medium
10.5844,9.9228,54.9465,305.55,Li-ion,105.0275,0.027339,0.20555,2.6343,48.4626,33.3351,High
10.3623,10,54.8506,429.11,Lead-acid,103.6231,0.038113,0.43686,2.7188,24.3037,38.961,High
12.4101,6.4074,42.3475,311.79,NiMH,79.5169,0.026714,0.1291,1.8268,43.5062,48.8609,Medium
11.5089,8.3681,56.8098,399.89,NiMH,96.3067,0.035529,0.02503,3.2576,38.419,32.7901,High
11.6865,9.2467,57.7794,368.05,Li-ion,108.0618,0.039886,0.06884,3.4068,31.6011,20.0712,Medium
12.0896,1.8896,25.9648,93.45,Lead-acid,22.8441,0.014827,0.11151,1.2925,71.7743,89.9961,Low
11.8075,7.4013,56.759,477.27,NiMH,87.3904,0.02663,0.13959,3.4639,44.9241,19.3377,High
10,7.8123,56.9458,378.29,NiMH,78.1232,0.045574,0.32937,4.2155,13.6065,29.7845,High
14,1.7371,21.6308,24.64,NiMH,24.32,0.008732,0.20679,0.0548,91.076,97.3474,Low
12.2381,2.0402,25.0421,111.27,NiMH,24.9684,0.001,0.17301,0.9181,85.9478,80.6012,Low
11.3304,6.3753,43.8747,209.24,Li-ion,72.235,0.024507,0.03666,2.1376,49.1561,63.7153,Medium
13.5082,3.2303,35.6431,75.98,Lead-acid,43.6354,0.005862,0.16482,0.577,82.3359,74.7914,Medium
